Drug Take-Back Site,Address,City,State,Zip Code,County,Phone Number,Hours of Availability,Location,Georeferenced Latitude & Longitude,Latitude,Longitude,Attention,Grant Owned,Box Status,Status
Milton Police Dept.,1 Filbert Street,Milton,PA,17847,Northumberland,(570)742-8757,M-F 8-3,"1 Filbert Street
Milton, PA 17847
(41.0197, -76.8522)",POINT (-76.8521726 41.0202511),41.0202511,-76.8521726,Off. Jason Engleman,Yes,Operational,Active
Darby Borough Police Department,821 Summit Street,Darby,PA,19023,Delaware,,Please contact location,"821 Summit Street
Darby, PA 19023
(39.92094, -75.25778)",POINT (-75.257908 39.9210909),39.9210909,-75.257908,,No,Operational,Active
Yeadon Borough,"600 Church Lane,",Yeadon,PA,19050,Delaware,,,"600 Church Lane,
Yeadon, PA 19050
(39.93634, -75.25344)",POINT (-75.253614 39.936123),39.936123,-75.253614,,No,,Active
Mt. Holly Springs Police Dept.,200 Harman Street,Mt. Holly Springs,PA,17065,Cumberland,(717)486-7615,M-F 8am-4pm,"200 Harman Street
Mt. Holly Springs, PA 17065
(40.11581, -77.19183)",POINT (-77.191826 40.1159751),40.1159751,-77.191826,"Chief Thomas L. Day, Jr.",Yes,Operational,Active
Chester Co. Sheriff's Office,"201 W. Market St., Ste. 1201",West Chester,PA,19380,Chester,(610)344-6850,M-F 8-4:30,"201 W. Market St., Ste. 1201
West Chester, PA 19380
(39.95828, -75.60775)",POINT (-75.607983 39.95848),39.95848,-75.607983,Deputy Hercules Avello,Yes,Operational,Active
CVS #6764,1321 ALLEGHENY ST.,JERSEY SHORE,PA,17740,"LYCOMING,PA",5703989861,Follows Pharmacy Hours of Operation,"1321 ALLEGHENY ST.
JERSEY SHORE, PA 17740
(41.20184, -77.27402)",POINT (-77.273874 41.201526),41.201526,-77.273874,,No,Pharmacy,Active
Guthrie Towanda Memorial Hospital (Lobby area),91 Hospital Dr,Towanda,PA,18848,Bradford,,,"91 Hospital Dr
Towanda, PA 18848
(41.78378, -76.44865)",POINT (-76.448536 41.784146),41.784146,-76.448536,,No,,Active
Brownsville Borough Police Dept.,200 Second Street,Brownsville,PA,15417,Fayette,(724)785-7334,,"200 Second Street
Brownsville, PA 15417
(40.0205, -79.8896)",POINT (-79.890003 40.020419),40.020419,-79.890003,Chief Stanley Jablonsky,Yes,,Active
Penn Presbyterian Medical Center Pharmacy,51 N 39th Street,Philadelphia,PA,19104,Philadelphia,215-662-9494,8:30 am to 7:00 pm Monday through Friday / 8:00 am to 3:30 pm Saturdays,"51 N 39th Street
Philadelphia, PA 19104
(39.95849, -75.19934)",POINT (-75.199459 39.958441),39.958441,-75.199459,Manager- Thomas Vasile,No,Pharmacy,Active
The Medicine Shoppe (Mercer),"315 SOUTH ERIE STREET, SUITE A",MERCER,PA,16137,Mercer,,,"315 SOUTH ERIE STREET, SUITE A
MERCER, PA 16137
(41.22356, -80.23987)",POINT (-80.239165 41.223433),41.223433,-80.239165,,No,Pharmacy,Active
CVS #1625,1565 W. HARRISBURG PIKE,MIDDLETOWN,PA,17057,"DAUPHIN,PA",7179449681,Follows Pharmacy Hours of Operation,"1565 W. HARRISBURG PIKE
MIDDLETOWN, PA 17057
(40.199, -76.75675)",POINT (-76.756241 40.199635),40.199635,-76.756241,,No,Pharmacy,Active
Old Lycoming Township Police Dept.,"1951 Green Avenue, Ste. 2",Williamsport,PA,17701-1202,Lycoming,(570)323-4987,M-F 8-4:30,"1951 Green Avenue, Ste. 2
Williamsport, PA 17701-1202
(41.25674, -77.04498)",POINT (-77.0449972 41.2574914),41.2574914,-77.0449972,Chief William Solomon,Yes,Operational,Active
State Police-Troop A / Greensburg,100 N Westmoreland Ave.,Greensburg,PA,15601-0436,Westmoreland,,,"100 N Westmoreland Ave.
Greensburg, PA 15601-0436
(40.30633, -79.52997)",POINT (-79.529985 40.306647),40.306647,-79.529985,,No,,Active
State Police-Troop D / New Castle,3539 Wilmington Rd.,New Castle,PA,16105,Lawrence,,,"3539 Wilmington Rd.
New Castle, PA 16105
(41.06688, -80.36043)",POINT (-80.36105 41.066801),41.066801,-80.36105,,No,,Active
Montgomery Township Police Dept.,1001 Stump Hall Road,Montgomeryville,PA,18936,Montgomery,(215)362-2301,,"1001 Stump Hall Road
Montgomeryville, PA 18936
(40.23643, -75.22461)",POINT (-75.223111 40.231476),40.231476,-75.223111,Ofcr. Robert Johnson,Yes,Unknown,Active
Smith Township Police Dept.,1848 Smith Twp. State Road,Slovan,PA,15078,Washington,(724)947-5069,M-F 9-3,,POINT (-80.3908636 40.3546246),40.3546246,-80.3908636,Sgt. Winford LaRue,Yes,Operational,Active
Northampton Township Police,50 Township Road,Richboro,PA,18954,Bucks,(215)322-6111,24 hours /7 days a week,"50 Township Road
Richboro, PA 18954
(40.21433, -75.00917)",POINT (-75.0081127 40.2156328),40.2156328,-75.0081127,,No,Operational,Active
Slippery Rock Borough Police Dept.,306 East Water Street,Slippery Rock,PA,16057,Butler,(724)794-6388,M-F 8-4 and by appt afterwards,"306 East Water Street
Slippery Rock, PA 16057
(41.06618, -80.0551)",POINT (-80.0549172 41.0661898),41.0661898,-80.0549172,Chief Terry A. Fedokovitz,Yes,Operational,Active
Mt. Lebanon Police Department,555 Washington Road,Mt Lebanon,PA,15228,Allegheny,(412)343-4016,24 hours/7 days a week.,"555 Washington Road
Mt Lebanon, PA 15228
(40.3835, -80.04383)",POINT (-80.043459 40.383448),40.383448,-80.043459,Chief Coleman McDonough,No,Operational,Active
Pottstown Police Department,100 East High Street,Pottstown,PA,19464,Montgomery,(610)970-6572,Please contact location,"100 East High Street
Pottstown, PA 19464
(40.2459, -75.65227)",POINT (-75.6522642 40.2456254),40.2456254,-75.6522642,Chief Mark D Flanders,No,Operational,Active
State Police-Troop C / Marienville,4956 SR 899,Marienville,PA,16239,Forest,,,"4956 SR 899
Marienville, PA 16239
(41.45546, -79.1422)",POINT (-79.140815 41.455243),41.455243,-79.140815,,No,,Active
Patton Borough Police Department,800 4th Avenue,Patton,PA,16668,Cambria,,,"800 4th Avenue
Patton, PA 16668
(40.63416, -78.64772)",POINT (-78.647453 40.63417),40.63417,-78.647453,,No,,Active
CVS #4000,2501 WARREN RD,INDIANA,PA,15701,"INDIANA,PA",7243495620,Follows Pharmacy Hours of Operation,"2501 WARREN RD
INDIANA, PA 15701
(40.61009, -79.18896)",POINT (-79.189373 40.60964),40.60964,-79.189373,,No,Pharmacy,Active
State Police-Troop H / Chambersburg,3800 Black Gap Road,Chambersburg,PA,17202,Franklin,,,"3800 Black Gap Road
Chambersburg, PA 17202
(39.96846, -77.57919)",POINT (-77.57862 39.97089),39.97089,-77.57862,,No,,Active
CARE-FILL PHARMACY,"43 WILLIAMSON RD, STE 1",GREENVILLE,PA,16125,Mercer,,,"43 WILLIAMSON RD, STE 1
GREENVILLE, PA 16125
(41.4133, -80.35853)",POINT (-80.358296 41.413364),41.413364,-80.358296,,No,Pharmacy,Active
Schuylkill County Sheriff's Dept.,401 North Second Street,Pottsville,PA,17901,Schuylkill,(570)628-1440,M-F 8:30-4:30,"401 North Second Street
Pottsville, PA 17901
(40.68773, -76.19809)",POINT (-76.1983374 40.6882919),40.6882919,-76.1983374,Sheriff Joseph Groody,Yes,Operational,Active
Weis Markets - Williamsport (Lycoming Creek Rd.),1916 Lycoming Creek Rd.,Williamsport,PA,17701,Lycoming,570-326-5144,,"1916 Lycoming Creek Rd.
Williamsport, PA 17701
(41.25318, -77.04359)",POINT (-77.042466 41.254674),41.254674,-77.042466,,No,,Active
Lake City Police Department,2352 Main St,Lake City,PA,16423,Erie,(814)774-8341,M-F 9-5/ or call for an officer after hours,"2352 Main St
Lake City, PA 16423
(42.013, -80.34256)",POINT (-80.3422918 42.0131491),42.0131491,-80.3422918,,No,Operational,Active
South Abington Police Dept.,104 Shady Lane Road,Chinchilla,PA,18410,Lackawanna,(570)586-2111,M-F 8am-4pm,"104 Shady Lane Road
Chinchilla, PA 18410
(41.47413, -75.68408)",POINT (-75.6864133 41.4735805),41.4735805,-75.6864133,Chief Gerrity,Yes,Operational,Active
State Police-Troop G / Huntingdon,10637 Raystown Rd.,Huntington,PA,16652,Huntingdon,,,"10637 Raystown Rd.
Huntington, PA 16652
(40.47505, -78.05804)",POINT (-78.057225 40.474965),40.474965,-78.057225,,No,,Active
North Coventry Twp. Police Dept.,845 South Hanover Street,Pottstown,PA,19465,Chester,(610)323-8360,M-F 8-4,"845 South Hanover Street
Pottstown, PA 19465
(40.23113, -75.65499)",POINT (-75.6555099 40.2310526),40.2310526,-75.6555099,Chief Robert A. Schurr,Yes,Operational,Active
Summerhill Township Police Department,892 Main Street,Wilmore,PA,15962,Cambria,,,"892 Main Street
Wilmore, PA 15962
(40.38767, -78.71852)",POINT (-78.718697 40.387947),40.387947,-78.718697,,No,,Active
Southern Clarion County Regional Police Dept.,220 Broad Street,New Bethlehem,PA,16242,Clarion,8142751180,,"220 Broad Street
New Bethlehem, PA 16242
(41.00132, -79.33404)",POINT (-79.3343741 41.0013737),41.0013737,-79.3343741,Chief Scott Ryan,Yes,Operational,Active
MERCY PHARMACY,1503 LANSDOWNE AVENUE (SUITE 1000),DARBY,PA,19023,Delaware,,,"1503 LANSDOWNE AVENUE (SUITE 1000)
DARBY, PA 19023
(39.9265, -75.26798)",POINT (-75.267924 39.92795),39.92795,-75.267924,,No,Pharmacy,Active
Cumberland Twp. Police Dept.,1370 Fairfield Road,Gettysburg,PA,17325,Adams,(717)334-3996,"8:00 am—4:00 pm, Monday thru Thursday","1370 Fairfield Road
Gettysburg, PA 17325
(39.82439, -77.26118)",POINT (-77.261755 39.823457),39.823457,-77.261755,,Yes,Operational,Active
State Police-Troop M / Dublin,3218 Rickert Rd.,Perkasie,PA,18944,Bucks,,,"3218 Rickert Rd.
Perkasie, PA 18944
(40.37432, -75.2128)",POINT (-75.210919 40.376175),40.376175,-75.210919,,No,,Active
ANDREW BROWN'S DRUG STORE,1502 PITTSTON AVENUE,SCRANTON,PA,18505,Lackawanna,,,"1502 PITTSTON AVENUE
SCRANTON, PA 18505
(41.39163, -75.67396)",POINT (-75.673855 41.391646),41.391646,-75.673855,,No,Pharmacy,Active
Children’s Hospital of Pittsburgh of UPMC / Pint Size Prescriptions (Outpatient Pharmacy),"4401 Penn Avenue, Floor 1",Pittsburgh,PA,15224,Allegheny,412-692-9200,M - F: 9:30 a.m. to 7:30 p.m. / Sat & Sun: 10 a.m. to 2 p.m.,"4401 Penn Avenue, Floor 1
Pittsburgh, PA 15224
(40.4664, -79.95298)",POINT (-79.953203 40.466533),40.466533,-79.953203,Chief Nursing Officer Diane Hupp,No,Pharmacy,Active
Peter’s Twp Police Dept,200 Municipal Drive,McMurray,PA,15317,Washington,(724) 942-5030,M-F 8AM -4 PM,"200 Municipal Drive
McMurray, PA 15317
(40.27939, -80.08101)",POINT (-80.081756 40.279879),40.279879,-80.081756,Chief Harry Fruecht,No,Operational,Active
Borough of Ambler Police Dept.,131 Rosemary Avenue,Ambler,PA,19002,Montgomery,(215)646-1000,unknown,"131 Rosemary Avenue
Ambler, PA 19002
(40.1527, -75.2205)",POINT (-75.220723 40.152756),40.152756,-75.220723,Chief William Foley,Yes,ordered 4-26-16,Active
Upper Dublin Township Police Department,801 Loch Alsh Ave.,Fort Washington,PA,19034-1651,Montgomery,(215)646-2101,24/7,"801 Loch Alsh Ave.
Fort Washington, PA 19034-1651
(40.15201, -75.20078)",POINT (-75.1952899 40.1531293),40.1531293,-75.1952899,Sgt. Michael Byrne,Yes,Operational,Active
Indiana County District Attorney's Office,825 Philadelphia Street,Indiana,PA,15701,Indiana,(724)465-3835,M-F 8am-4pm,"825 Philadelphia Street
Indiana, PA 15701
(40.62298, -79.15511)",POINT (-79.1549178 40.6229795),40.6229795,-79.1549178,D.A. Patrick Dougherty,No,Operational,Active
New Garden Twp. Police Dept.,8934 Gap Newport Pike,Landenberg,PA,19350,Chester,(610)268-2907,M-F 8-4,"8934 Gap Newport Pike
Landenberg, PA 19350
(39.81103, -75.75563)",POINT (-75.7550522 39.8108131),39.8108131,-75.7550522,Chief Gerald R. Simpson,Yes,Operational,Active
Ridgway Police Dept.,108 Main Street,Ridgway,PA,15853,Elk,(814)772-0000,,"108 Main Street
Ridgway, PA 15853
(41.42059, -78.73267)",POINT (-78.732932 41.420788),41.420788,-78.732932,Chief Ralph Tettis,Yes,,Active
City of Coatesville Police Department,1 City Hall,Coatesville,PA,19320,Chester,(610)384-2300,24 hours/7 days a week,"1 City Hall
Coatesville, PA 19320
(39.9821, -75.82081)",POINT (-75.820526 39.982205),39.982205,-75.820526,,No,Operational,Active
Broad and Lehigh Pharmacy at Liberty Square,1300 West Lehigh Avenue (Suite 102),Philadelphia,PA,19132,Philadelphia,(215) 228-9007,M-F 9-5 / Sat 9-Noon,"1300 West Lehigh Avenue (Suite 102)
Philadelphia, PA 19132
(39.99368, -75.15246)",POINT (-75.152846 39.993088),39.993088,-75.152846,Bryan Synder,No,,Active
Children’s Hospital of Philadelphia – Philadelphia campus,3401 Civic Center Blvd,Philadelphia,PA,19104,Philadelphia,215-590-1000 x 43252,9:00am-9:00pm,"3401 Civic Center Blvd
Philadelphia, PA 19104
(39.94768, -75.19409)",POINT (-75.1949802 39.9476976),39.9476976,-75.1949802,Sahara Cox,No,Operational,Active
HARTZELLS PHARMACY INC,300 AMERICAN STREET,CATASAUQUA,PA,18032,Lehigh,,,"300 AMERICAN STREET
CATASAUQUA, PA 18032
(40.65371, -75.46755)",POINT (-75.46794 40.653586),40.653586,-75.46794,,No,Pharmacy,Active
"CVS PHARMACY, L.L.C. # 00903 (BROOKHAVEN)",3298 EDGEMONT AVE.,BROOKHAVEN,PA,19015,Delaware,,,"3298 EDGEMONT AVE.
BROOKHAVEN, PA 19015
(39.86882, -75.38259)",POINT (-75.382798 39.868958),39.868958,-75.382798,,No,Pharmacy,Active
CareSite Pharmacy Mt. Pleasant,531 Mt. Pleasant Dr.,Scranton,PA,18503,Lackawanna,570-963-2305,Monday - Thursday: 9 a.m. - 6 p.m./Friday: 9 a.m. - 5:30 p.m./Saturday: 9 a.m. – noon,"531 Mt. Pleasant Dr.
Scranton, PA 18503
(41.41727, -75.67142)",POINT (-75.671953 41.418375),41.418375,-75.671953,,No,Pharmacy,Active
"CVS PHARMACY, L.L.C. # 01671 (LANCASTER)",1507 LITITZ PIKE,LANCASTER,PA,17601,Lancaster,,,"1507 LITITZ PIKE
LANCASTER, PA 17601
(40.06447, -76.30616)",POINT (-76.306014 40.064724),40.064724,-76.306014,,No,Pharmacy,Active
URBANCARE PHARMACY,169 W LEHIGH AVE,PHILADELPHIA,PA,19133,Philadelphia,,,"169 W LEHIGH AVE
PHILADELPHIA, PA 19133
(39.9913, -75.13399)",POINT (-75.133964 39.991457),39.991457,-75.133964,,No,Pharmacy,Active
Adams Township Police Dept.,690 Valencia Road,Mars,PA,16046,Butler,(724)625-2040,,"690 Valencia Road
Mars, PA 16046
(40.71341, -79.99019)",POINT (-79.990678 40.713395),40.713395,-79.990678,Chief Shawn Anglum,Yes,,Active
DONORA UNION PHARMACY,601 MCKEAN AVE,DONORA,PA,15033,Washington,,,"601 MCKEAN AVE
DONORA, PA 15033
(40.17809, -79.85637)",POINT (-79.856186 40.177877),40.177877,-79.856186,,No,Pharmacy,Active
Silver Spring Township Police Department,"5 Willow Mill Park Road, Suite 1",Mechanicsburg,PA,17050,Cumberland,(717)697-0607,M-F 7:30am-4pm,"5 Willow Mill Park Road, Suite 1
Mechanicsburg, PA 17050
(40.25137, -77.03187)",POINT (-77.031333 40.251256),40.251256,-77.031333,,Yes,Operational,Active
Hopewell Township Police Dept.,1700 Clark Boulevard,Aliquippa,PA,15001,Beaver,(724)378-0557,,"1700 Clark Boulevard
Aliquippa, PA 15001
(40.59239, -80.26337)",POINT (-80.263534 40.592455),40.592455,-80.263534,Chief Brian Uhrmacher,Yes,,Active
Walgreens Pharmacy (Norristown Location),2803 W Main St,Norristown,PA,19403,Montgomery,484–636–5003,,"2803 W Main St
Norristown, PA 19403
(40.14754, -75.39511)",POINT (-75.394975 40.147874),40.147874,-75.394975,,No,,Active
CVS #2133,620 MARKET STREET,KINGSTON,PA,18704,"LUZERNE,PA",5703314011,Follows Pharmacy Hours of Operation,"620 MARKET STREET
KINGSTON, PA 18704
(41.26126, -75.89672)",POINT (-75.897054 41.260833),41.260833,-75.897054,,No,Pharmacy,Active
Newberry Township Police Department,1905 Old Trail Rd,Etters,PA,17319,York,7179382608,8:00am – 4:30pm Mon-Fri,"1905 Old Trail Rd
Etters, PA 17319
(40.13506, -76.80514)",POINT (-76.798353 40.150726),40.150726,-76.798353,,Yes,,Active
Freeport Police Dept.,414 Market Street,Freeport,PA,16229,Armstrong,(724)295-4897,,"414 Market Street
Freeport, PA 16229
(40.67258, -79.68565)",POINT (-79.685616 40.672377),40.672377,-79.685616,Chief Jeffrey Swiklinski,Yes,,Active
Palmer Township Police Dept.,5 Weller Place,Palmer,PA,18045,Northampton,(610)253-5844,,"5 Weller Place
Palmer, PA 18045
(40.70025, -75.26975)",POINT (-75.270459 40.700829),40.700829,-75.270459,Chief Larry Palmer,Yes,Operational,Active
Southwestern Regional Police Department,6115 Thoman Drive,Spring Grove,PA,17362,York,(717)225-1344,Open Monday through Friday from 8AM to 4:30PM,"6115 Thoman Drive
Spring Grove, PA 17362
(39.82715, -76.89806)",POINT (-76.898481 39.827579),39.827579,-76.898481,,No,Operational,Active
Tredyffrin Township Police Dept.,1100 DuPortail Road,Berwyn,PA,19312-1079,Chester,(610)644-3221,M-F 6:30am-10:00pm or call an officer will come in to department,"1100 DuPortail Road
Berwyn, PA 19312-1079
(40.06582, -75.47017)",POINT (-75.4395931 40.045824),40.045824,-75.4395931,Supt. Anthony Giaimo,No,Operational,Active
Lansdowne Borough Police,12 E. Baltimore Pk.,Lansdowne,PA,19050,Delaware,,,"12 E. Baltimore Pk.
Lansdowne, PA 19050
(39.93833, -75.27181)",POINT (-75.271663 39.938112),39.938112,-75.271663,,No,,Active
Penn Township Police Dept.,157 East Airport Road,Butler,PA,16002,Butler,(724)586-1169,M-F 7:30-4:00,"157 East Airport Road
Butler, PA 16002
(40.78138, -79.92223)",POINT (-79.9224732 40.7813435),40.7813435,-79.9224732,Sgt. Cheryl Cranmer,Yes,Operational,Active
State Police-Troop B / Washington,150 Rt 519,Eighty Four,PA,15330,Washington,,,"150 Rt 519
Eighty Four, PA 15330
(40.1364, -80.13099)",POINT (-80.131367 40.134227),40.134227,-80.131367,,No,,Active
Northern Regional Police Dept.,230 Pearce Mill Road,Wexford,PA,15090,Allegheny,(724)625-3157,Unknown,"230 Pearce Mill Road
Wexford, PA 15090
(40.66106, -80.03304)",POINT (-80.033152 40.660879),40.660879,-80.033152,Chief T. Robert Amann,Yes,Ordered 4-26-16,Active
Upland Borough Police,224 Castle Ave.,Brookhaven,PA,19015,Delaware,,,"224 Castle Ave.
Brookhaven, PA 19015
(39.85672, -75.38151)",POINT (-75.381637 39.856765),39.856765,-75.381637,,No,,Active
VA Hospital H.J. Heinz Campus,1010 Delafield Road,Pittsburgh,PA,15215,Allegheny,,,"1010 Delafield Road
Pittsburgh, PA 15215
(40.49714, -79.89086)",POINT (-79.888479 40.494233),40.494233,-79.888479,,No,Pharmacy,Active
Plumstead Township Building,5186 Stump Road,Plumsteadville,PA,18949,Bucks,(215)766-8741,M-F 8-4,"5186 Stump Road
Plumsteadville, PA 18949
(40.39112, -75.14201)",POINT (-75.1418008 40.3913345),40.3913345,-75.1418008,,No,Operational,Active
Springfield Township Police,2320 Township Road,Quakertown,PA,18951,Bucks,(610)346-6700,M-F 9:00-4:30,"2320 Township Road
Quakertown, PA 18951
(40.52406, -75.28906)",POINT (-75.303463 40.5030783),40.5030783,-75.303463,,No,Operational,Active
State Police-Troop L /Schuylkill Haven,23 Meadowbrook Dr.,Schuylkill Haven,PA,17972-9316,Schuylkill,,,"23 Meadowbrook Dr.
Schuylkill Haven, PA 17972-9316
(40.59165, -76.21529)",POINT (-76.214822 40.591424),40.591424,-76.214822,,No,,Active
Exeter Twp. Police Department (**2 Boxes at this location),4975 DeMoss Road,Reading,PA,19606,Berks,(610)779-1490,Monday to Friday 8am – 4:30 pm,"4975 DeMoss Road
Reading, PA 19606
(40.305, -75.85462)",POINT (-75.8544639 40.306327),40.306327,-75.8544639,Chief Christopher Neidert,No,Operational,Active
LEWISBURG PHARMACY,50 N 2ND STREET,LEWISBURG,PA,17837,Union,,,"50 N 2ND STREET
LEWISBURG, PA 17837
(40.96615, -76.88477)",POINT (-76.884572 40.966192),40.966192,-76.884572,,No,Pharmacy,Active
Telford Borough Police Dept.,100 Penn Avenue,Telford,PA,18969,Montgomery,(215)723-6700,M-F 8-4,"100 Penn Avenue
Telford, PA 18969
(40.32499, -75.32896)",POINT (-75.32879 40.324877),40.324877,-75.32879,Chief Randall Floyd,Yes,Operational,Active
Saxonburg Borough Police Dept.,420 West Main Street,Saxonburg,PA,16056,Butler,(724)352-6255,M-S 8-4,"420 West Main Street
Saxonburg, PA 16056
(40.75082, -79.81722)",POINT (-79.817327 40.751287),40.751287,-79.817327,Chief Joseph Beachem,Yes,Operational,Active
Lower Gwynedd Township Police Dept.,1130 North Bethlehem Pike,Spring House,PA,19477,Montgomery,(215)646-5303,unknown,"1130 North Bethlehem Pike
Spring House, PA 19477
(40.18599, -75.22771)",POINT (-75.224803 40.190072),40.190072,-75.224803,Chief Paul Kenny,Yes,ordered 4-26-16,Active
NJ State Police,206 Division Street,Mount Bethel,PA,18343,Northampton,973-383-1515,24/7,"206 Division Street
Mount Bethel, PA 18343
(40.9211, -75.10005)",POINT (-75.099031 40.921511),40.921511,-75.099031,Trooper Redden,No,Operational,Active
Lower Pottsgrove Township Police Department,2199 Buchert Road,Pottstown,PA,19464,Montgomery,(610)326-1508,M-F 8 am-7 pm or call after hours,"2199 Buchert Road
Pottstown, PA 19464
(40.25428, -75.58869)",POINT (-75.6064751 40.2598808),40.2598808,-75.6064751,Chief Michael Shade,No,Operational,Active
Washington Twp. Police Dept.,289 Pine Run Church Road,Apollo,PA,15613,Westmoreland,(724)727-3410,M-F 7:00 a.m.-3:00 p.m.,"289 Pine Run Church Road
Apollo, PA 15613
(40.54713, -79.60457)",POINT (-79.6044627 40.5471488),40.5471488,-79.6044627,Chief Scott Slagle,Yes,Operational,Active
Crawford Co. Sheriff's Dept.,903 Diamond Park,Meadville,PA,16335,Crawford,(814)333-7411,M-F 8:30-4:30,"903 Diamond Park
Meadville, PA 16335
(41.6385, -80.14963)",POINT (-80.1496016 41.6385379),41.6385379,-80.1496016,Sheriff Nick Hoke,Yes,Operational,Active
Bern Twp. Police Department,1069 Old Bernville Road,Reading,PA,19605,Berks,(610)926-2535,"Monday to Thursday 8:30 am – 4:30pm, Friday 8:30am - noon","1069 Old Bernville Road
Reading, PA 19605
(40.39265, -75.99462)",POINT (-75.9917809 40.3911113),40.3911113,-75.9917809,Chief Wesley Waugh,No,Operational,Active
